organization,fiscal_year_label,fiscal_year,fiscal_year_is_partial,month_abbr,month_num,calendar_year,calendar_month_label,calendar_month_start,component,region,land_filter,location_name,location_type,drug_type,count_of_event,sum_qty_lbs,lat,lon,source_dataset,source_file
CBP,2019,2019,false,FEB,2,2019,2019-02,2019-02-01,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Field Office,Fentanyl,1,5.0265395736,27.5036,-99.5075,cbp_fentanyl_aor_monthly_2019_2026_dec.csv,nationwide-drugs-fy19-fy22.csv
CBP,2019,2019,false,FEB,2,2019,2019-02,2019-02-01,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Field Office,Fentanyl,10,142.77797473906,32.7157,-117.1611,cbp_fentanyl_aor_monthly_2019_2026_dec.csv,nationwide-drugs-fy19-fy22.csv
CBP,2019,2019,false,FEB,2,2019,2019-02,2019-02-01,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Field Office,Fentanyl,15,22.5974259474524,32.2226,-110.9747,cbp_fentanyl_aor_monthly_2019_2026_dec.csv,nationwide-drugs-fy19-fy22.csv
CBP,2019,2019,false,FEB,2,2019,2019-02,2019-02-01,Office of Field Operations,Southwest Border,Other,TUCSON FIELD OFFICE,Field Office,Fentanyl,1,0.0035935348706,32.2226,-110.9747,cbp_fentanyl_aor_monthly_2019_2026_dec.csv,nationwide-drugs-fy19-fy22.csv
CBP,2019,2019,false,FEB,2,2019,2019-02,2019-02-01,U.S. Border Patrol,Northern Border,Land Only,BUFFALO SECTOR,Sector,Fentanyl,1,0.0951,42.8864,-78.8784,cbp_fentanyl_aor_monthly_2019_2026_dec.csv,nationwide-drugs-fy19-fy22.csv
CBP,2019,2019,false,FEB,2,2019,2019-02,2019-02-01,U.S. Border Patrol,Southwest Border,Land Only,EL PASO SECTOR,Sector,Fentanyl,1,2.2,31.7619,-106.485,cbp_fentanyl_aor_monthly_2019_2026_dec.csv,nationwide-drugs-fy19-fy22.csv
CBP,2019,2019,false,FEB,2,2019,2019-02,2019-02-01,U.S. Border Patrol,Southwest Border,Land Only,SAN DIEGO SECTOR,Sector,Fentanyl,1,2.6786,32.7157,-117.1611,cbp_fentanyl_aor_monthly_2019_2026_dec.csv,nationwide-drugs-fy19-fy22.csv
CBP,2019,2019,false,FEB,2,2019,2019-02,2019-02-01,U.S. Border Patrol,Southwest Border,Land Only,YUMA SECTOR,Sector,Fentanyl,1,17.4825,32.6927,-114.6277,cbp_fentanyl_aor_monthly_2019_2026_dec.csv,nationwide-drugs-fy19-fy22.csv
AMO,2019,2019,false,MAR,3,2019,2019-03,2019-03-01,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Marine Branch,Fentanyl,1,0.12,42.607,-82.836,amo_fentanyl_branch_monthly_2019_2026_dec.csv,amo-drug-seizures-fy19-fy22.csv
AMO,2019,2019,false,MAR,3,2019,2019-03,2019-03-01,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Marine Branch,Fentanyl,1,0.07,30.3322,-81.6557,amo_fentanyl_branch_monthly_2019_2026_dec.csv,amo-drug-seizures-fy19-fy22.csv
AMO,2019,2019,false,MAR,3,2019,2019-03,2019-03-01,Air and Marine Operations,Coastal/Interior,Other,NASOC - Albuquerque,NASOC,Fentanyl,1,19.84,35.0844,-106.6504,amo_fentanyl_branch_monthly_2019_2026_dec.csv,amo-drug-seizures-fy19-fy22.csv
AMO,2019,2019,false,MAR,3,2019,2019-03,2019-03-01,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Air Branch,Fentanyl,1,0.03,32.2226,-110.9747,amo_fentanyl_branch_monthly_2019_2026_dec.csv,amo-drug-seizures-fy19-fy22.csv
CBP,2019,2019,false,MAR,3,2019,2019-03,2019-03-01,Office of Field Operations,Northern Border,Other,BUFFALO FIELD OFFICE,Field Office,Fentanyl,4,0.171850333229,42.8864,-78.8784,cbp_fentanyl_aor_monthly_2019_2026_dec.csv,nationwide-drugs-fy19-fy22.csv
CBP,2019,2019,false,MAR,3,2019,2019-03,2019-03-01,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Field Office,Fentanyl,3,11.2986909275,41.8781,-87.6298,cbp_fentanyl_aor_monthly_2019_2026_dec.csv,nationwide-drugs-fy19-fy22.csv
CBP,2019,2019,false,MAR,3,2019,2019-03,2019-03-01,Office of Field Operations,Northern Border,Other,DETROIT FIELD OFFICE,Field Office,Fentanyl,9,1.1594330820842,42.3314,-83.0458,cbp_fentanyl_aor_monthly_2019_2026_dec.csv,nationwide-drugs-fy19-fy22.csv
CBP,2019,2019,false,MAR,3,2019,2019-03,2019-03-01,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Field Office,Fentanyl,1,0.1543235834,34.0522,-118.2437,cbp_fentanyl_aor_monthly_2019_2026_dec.csv,nationwide-drugs-fy19-fy22.csv
CBP,2019,2019,false,MAR,3,2019,2019-03,2019-03-01,Office of Field Operations,Coastal/Interior,Other,MIAMI FIELD OFFICE,Field Office,Fentanyl,1,8.157103694,25.7617,-80.1918,cbp_fentanyl_aor_monthly_2019_2026_dec.csv,nationwide-drugs-fy19-fy22.csv
CBP,2019,2019,false,MAR,3,2019,2019-03,2019-03-01,Office of Field Operations,Coastal/Interior,Other,NEW ORLEANS FIELD OFFICE,Field Office,Fentanyl,1,13.778891375,29.9511,-90.0715,cbp_fentanyl_aor_monthly_2019_2026_dec.csv,nationwide-drugs-fy19-fy22.csv
CBP,2019,2019,false,MAR,3,2019,2019-03,2019-03-01,Office of Field Operations,Coastal/Interior,Other,NEW YORK FIELD OFFICE,Field Office,Fentanyl,5,0.03747858454,40.7128,-74.006,cbp_fentanyl_aor_monthly_2019_2026_dec.csv,nationwide-drugs-fy19-fy22.csv
CBP,2019,2019,false,MAR,3,2019,2019-03,2019-03-01,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Field Office,Fentanyl,13,183.645064246,32.7157,-117.1611,cbp_fentanyl_aor_monthly_2019_2026_dec.csv,nationwide-drugs-fy19-fy22.csv
CBP,2019,2019,false,MAR,3,2019,2019-03,2019-03-01,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Field Office,Fentanyl,17,26.409593243277808,32.2226,-110.9747,cbp_fentanyl_aor_monthly_2019_2026_dec.csv,nationwide-drugs-fy19-fy22.csv
CBP,2019,2019,false,MAR,3,2019,2019-03,2019-03-01,U.S. Border Patrol,Southwest Border,Land Only,SAN DIEGO SECTOR,Sector,Fentanyl,1,2.3148,32.7157,-117.1611,cbp_fentanyl_aor_monthly_2019_2026_dec.csv,nationwide-drugs-fy19-fy22.csv
CBP,2019,2019,false,MAR,3,2019,2019-03,2019-03-01,U.S. Border Patrol,Southwest Border,Land Only,TUCSON SECTOR,Sector,Fentanyl,3,0.8907999999999999,32.2226,-110.9747,cbp_fentanyl_aor_monthly_2019_2026_dec.csv,nationwide-drugs-fy19-fy22.csv
AMO,2019,2019,false,APR,4,2019,2019-04,2019-04-01,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Marine Branch,Fentanyl,3,1.34,42.607,-82.836,amo_fentanyl_branch_monthly_2019_2026_dec.csv,amo-drug-seizures-fy19-fy22.csv
AMO,2019,2019,false,APR,4,2019,2019-04,2019-04-01,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Marine Branch,Fentanyl,1,0.06,42.607,-82.836,amo_fentanyl_branch_monthly_2019_2026_dec.csv,amo-drug-seizures-fy19-fy22.csv
AMO,2019,2019,false,APR,4,2019,2019-04,2019-04-01,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Marine Branch,Fentanyl,1,4.12,32.7157,-117.1611,amo_fentanyl_branch_monthly_2019_2026_dec.csv,amo-drug-seizures-fy19-fy22.csv
AMO,2019,2019,false,APR,4,2019,2019-04,2019-04-01,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Air Branch,Fentanyl,1,0.51,32.2226,-110.9747,amo_fentanyl_branch_monthly_2019_2026_dec.csv,amo-drug-seizures-fy19-fy22.csv
CBP,2019,2019,false,APR,4,2019,2019-04,2019-04-01,Office of Field Operations,Coastal/Interior,Other,BALTIMORE FIELD OFFICE,Field Office,Fentanyl,1,2.6235009178,39.2904,-76.6122,cbp_fentanyl_aor_monthly_2019_2026_dec.csv,nationwide-drugs-fy19-fy22.csv
