fiscal_year_label,fiscal_year,fiscal_year_is_partial,month_abbr,month_num,calendar_year,calendar_month_label,calendar_month_start,component,region,land_filter,branch,branch_type,drug_type,count_of_event,sum_qty_lbs,source_file
2020,2020,false,AUG,8,2020,2020-08,2020-08-01,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Marine Branch,Fentanyl,3,22.98,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,AUG,8,2020,2020-08,2020-08-01,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Marine Branch,Fentanyl,1,0.03,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,AUG,8,2020,2020-08,2020-08-01,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Marine Branch,Fentanyl,2,27.83,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,AUG,8,2020,2020-08,2020-08-01,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Air Branch,Fentanyl,5,7.729999999999999,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,SEP,9,2020,2020-09,2020-09-01,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Air Branch,Fentanyl,1,0.14,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,SEP,9,2020,2020-09,2020-09-01,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Marine Branch,Fentanyl,2,6.68,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,SEP,9,2020,2020-09,2020-09-01,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Marine Branch,Fentanyl,6,12.61,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,SEP,9,2020,2020-09,2020-09-01,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Marine Branch,Fentanyl,2,0.0699999999999999,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,SEP,9,2020,2020-09,2020-09-01,Air and Marine Operations,Coastal/Interior,Other,Miami Air And Marine Branch,Marine Branch,Fentanyl,2,0.01,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,SEP,9,2020,2020-09,2020-09-01,Air and Marine Operations,Coastal/Interior,Other,National Air Training Center Oklahoma City,Center,Fentanyl,1,0.01,amo-drug-seizures-fy19-fy22.csv
2020,2020,false,SEP,9,2020,2020-09,2020-09-01,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Air Branch,Fentanyl,1,0.25,amo-drug-seizures-fy19-fy22.csv
2021,2021,false,OCT,10,2020,2020-10,2020-10-01,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Center,Fentanyl,1,9.04,amo-drug-seizures-fy19-fy22.csv
2021,2021,false,OCT,10,2020,2020-10,2020-10-01,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Air Branch,Fentanyl,3,4.41,amo-drug-seizures-fy19-fy22.csv
2021,2021,false,OCT,10,2020,2020-10,2020-10-01,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Air Branch,Fentanyl,1,17.64,amo-drug-seizures-fy19-fy22.csv
2021,2021,false,OCT,10,2020,2020-10,2020-10-01,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Air Branch,Fentanyl,3,6.1,amo-drug-seizures-fy19-fy22.csv
2021,2021,false,OCT,10,2020,2020-10,2020-10-01,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Air Branch,Fentanyl,1,14.3,amo-drug-seizures-fy19-fy22.csv
2021,2021,false,NOV,11,2020,2020-11,2020-11-01,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Marine Branch,Fentanyl,4,13.39,amo-drug-seizures-fy19-fy22.csv
2021,2021,false,NOV,11,2020,2020-11,2020-11-01,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Other,Fentanyl,2,9.34,amo-drug-seizures-fy19-fy22.csv
2021,2021,false,NOV,11,2020,2020-11,2020-11-01,Air and Marine Operations,Coastal/Interior,Other,Miami Air And Marine Branch,Marine Branch,Fentanyl,1,0.22,amo-drug-seizures-fy19-fy22.csv
2021,2021,false,NOV,11,2020,2020-11,2020-11-01,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Air Branch,Fentanyl,2,8.41,amo-drug-seizures-fy19-fy22.csv
2021,2021,false,DEC,12,2020,2020-12,2020-12-01,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Air Branch,Fentanyl,1,0.01,amo-drug-seizures-fy19-fy22.csv
2021,2021,false,DEC,12,2020,2020-12,2020-12-01,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Marine Branch,Fentanyl,1,1.72,amo-drug-seizures-fy19-fy22.csv
2021,2021,false,DEC,12,2020,2020-12,2020-12-01,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Air Branch,Fentanyl,1,56.22,amo-drug-seizures-fy19-fy22.csv
2021,2021,false,DEC,12,2020,2020-12,2020-12-01,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Air Branch,Fentanyl,3,17.31,amo-drug-seizures-fy19-fy22.csv
2021,2021,false,DEC,12,2020,2020-12,2020-12-01,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Air Branch,Fentanyl,1,0.08,amo-drug-seizures-fy19-fy22.csv
2021,2021,false,JAN,1,2021,2021-01,2021-01-01,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Air Branch,Fentanyl,2,0.3399999999999999,amo-drug-seizures-fy19-fy22.csv
