state_abbr,state_name,year,hs6,shipment_records,total_quantity_kg,total_value_usd
NC,North Carolina,2017,940161,8,1432.0,36357.129
NC,North Carolina,2017,940330,1,359.0,1626.93
NC,North Carolina,2017,940350,1,179.0,3185.225
NC,North Carolina,2017,940360,6,1074.0,47587.295
NJ,New Jersey,2017,251990,1,20.0,2861.327
NJ,New Jersey,2017,270730,1,527.0,1272.474
NJ,New Jersey,2017,281530,1,10.0,3456.661
NJ,New Jersey,2017,282739,3,17.0,1804.879
NJ,New Jersey,2017,282751,1,1.0,698.19
NJ,New Jersey,2017,282990,1,3.0,1479.628
NJ,New Jersey,2017,283311,1,136.0,1302.788
NJ,New Jersey,2017,283410,1,0.0,259.019
NJ,New Jersey,2017,283429,1,5.0,247.811
NJ,New Jersey,2017,283522,1,100.0,1472.292
NJ,New Jersey,2017,283699,1,3.0,243.021
NJ,New Jersey,2017,283720,2,35.0,1385.042
NJ,New Jersey,2017,284290,1,50.0,1208.389
NJ,New Jersey,2017,285000,1,50.0,5016.017
NJ,New Jersey,2017,290211,1,36.0,274.609
NJ,New Jersey,2017,290514,1,32.0,635.779
NJ,New Jersey,2017,291711,1,50.0,1268.246
NJ,New Jersey,2017,291811,1,8.0,143.877
NJ,New Jersey,2017,293211,1,96.0,2035.928
NJ,New Jersey,2017,293352,1,3.0,410.334
NJ,New Jersey,2017,350510,2,15.0,1732.126
NJ,New Jersey,2017,382200,1,0.0,135.267
NJ,New Jersey,2017,382370,1,527.0,412.321
NJ,New Jersey,2017,392350,1,15.0,444.418
NJ,New Jersey,2017,690911,1,1.0,368.353
NJ,New Jersey,2017,720510,1,1.0,150.704
NJ,New Jersey,2017,902790,2,2.0,1084.4769999999999
NY,New York,2017,281122,51,904967.0,396939.229
OH,Ohio,2017,130231,1,2.0,1363.139
OH,Ohio,2017,220190,1,1957.0,4795.62
OH,Ohio,2017,282110,1,13.0,407.205
OH,Ohio,2017,282720,1,100.0,1703.95
OH,Ohio,2017,282739,1,10.0,1063.09
OH,Ohio,2017,283429,1,272.0,2334.364
OH,Ohio,2017,283699,1,10.0,214.22
