state_abbr,state_name,year,hs6,goods_description,shipment_records,total_quantity_kg,total_value_usd
MD,Maryland,2016,491110,CATALOGO,1,41.0,110.838
MD,Maryland,2016,701720,ARTICULO DE VIDRIO,1,0.0,86.674
MD,Maryland,2016,701720,ARTICULO DE VIDRIO SIN ENSAMBLAR CON SU PERILLA DE CAUCHO,1,0.0,160.096
MD,Maryland,2016,701720,ARTICULOS DE VIDRIO PARA USO EN LABORATORIO,3,0.0,360.19599999999997
MD,Maryland,2016,701720,FRASCOS DE VIDRIO PARA USO EN LABORATORIO,2,3.0,135.965
MD,Maryland,2016,701720,FRASCOS DE VIDRIO PARA USO EN LABORATORIO INCLUSO CON SU TAPA,1,1.0,86.416
MD,Maryland,2016,701720,LINEAS DE VIDRIO PARA USO EN LABORATORIO,1,0.0,76.483
MD,Maryland,2016,701720,TUBOS DE VIDRIO PARA USO EN LABORATORIO,1,0.0,109.62999999999998
MD,Maryland,2016,701790,FRASCO DE VIDRIO,1,2.0,48.461
MD,Maryland,2016,830990,TAPAS DE ALUMINIO,2,1.0,288.931
MD,Maryland,2016,841360,BOMBA PERSITALICA,1,1237.0,2133.512
MD,Maryland,2016,842129,ELEMENTOS FILTRANTES,3,1.0,590.223
MD,Maryland,2016,842131,SISTEMA DE FILTRACION CON ACCESORIOS,1,23.0,4356.011
MD,Maryland,2016,847130,MAQUINAS AUTOMATICAS PARA EL PROCESAMIENTO DE DATOS PORTATIL (LAP TOP),1,14.0,1084.544
MD,Maryland,2016,901831,FILTRO PARA JERINGA,5,18.0,6213.618
MD,Maryland,2016,901831,JERINGA DE PLASTICO,2,1.0,466.18499999999995
MD,Maryland,2016,901831,JERINGA DE VIDRIO,1,0.0,56.718
MD,Maryland,2016,901831,JERINGAS DE VIDRIO,1,0.0,140.201
MD,Maryland,2016,901831,JERINGAS DE VIDRIO PARA CROMATOGRAFO,2,1.0,726.886
MD,Maryland,2016,901832,AGUJAS PARA CROMATOGRAFO,1,0.0,21.686
MD,Maryland,2016,902610,CONTROLADOR DE FLUJO,1,5.0,235.837
MD,Maryland,2016,902610,MEDIDOR DE FLUJO CON ACCESORIOS EN SU ESTUCHE,1,2.0,653.972
MD,Maryland,2016,902720,CROMATOGRAFO CON ACCESORIOS INCLUYE TODAS SUS PARTES Y ACCESORIOS PARA SU INSTALACION,1,1237.0,22649.021
MD,Maryland,2016,902790,ACCESORIOS PARA CROMATOGRAFO,1,0.0,313.155
MD,Maryland,2016,902790,ACCESORIOS Y COLUMNA DE LIQUIDOS PARA CROMATOGRAFO,1,2.0,2849.724
MD,Maryland,2016,902790,COLUMNA DE ANALISIS,1,2.0,2403.962
MD,Maryland,2016,902790,COLUMNA DE ANALISIS CON ACCESORIOS DE VIDRIO,1,2.0,960.521
MD,Maryland,2016,902790,COLUMNA DE ANALISIS CON ACCESORIOS PARA CROMATOGRAFO,3,10.0,1791.8650000000002
MD,Maryland,2016,902790,COLUMNAS DE LIQUIDOS PARA CROMATOGRAFO,2,0.0,1149.3500000000001
MD,Maryland,2016,902790,COLUMNAS DESECHABLES PARA CROMATOGRAFO,1,0.0,152.746
MD,Maryland,2016,902790,CONVERTIDOR UNIVERSAL PARA CROMATOGRAFO,1,0.0,41.153
MD,Maryland,2016,960830,PLUMAS,1,48.0,2.2
MO,Missouri,2016,283429,NITRATO SODICO.(ORDEN 1),1,400.0,3115.999
NC,North Carolina,2016,382200,ESTANDARES DE REFERENCIA,1,0.0,72.496
NC,North Carolina,2016,391990,HOLOGRAMAS,1,0.0,138.705
NC,North Carolina,2016,490510,MAPAS TIPO ESFERA,1,31.0,2184.687
NC,North Carolina,2016,741820,JABONERAS Y PORTAROLLOS DE LATON,1,28.0,3706.083
NC,North Carolina,2016,830629,ARTICULOS DE ADORNO DE BRONCE,1,31.0,5694.823
NC,North Carolina,2016,830629,"CABALLO DE BRONCE (ARTICULOS DE ADORNO), MONO DE BRONCE",1,194.0,1439.103
NC,North Carolina,2016,842129,ELEMENTOS FILTRANTES,1,0.0,92.671
NC,North Carolina,2016,853110,DETECTOR DE HUMO,1,2.0,126.568
NC,North Carolina,2016,901831,JERINGAS DE VIDRIO PARA CROMATOGRAFO,1,0.0,74.464
NC,North Carolina,2016,902610,CONTROLADOR DE FLUJO,1,2.0,243.404
NC,North Carolina,2016,902790,ACCESORIOS PARA CROMATOGRAFO,1,0.0,586.148
NC,North Carolina,2016,902790,COLUMNA DE ANALISIS CON ACCESORIOS PARA CROMATOGRAFO,1,2.0,910.96
NC,North Carolina,2016,902790,PLACAS CROMATOGRAFICAS,3,1.0,1479.217
NC,North Carolina,2016,940130,ASIENTOS GIRATORIOS DE ALTURA AJUSTABLE,1,31.0,2259.0
NC,North Carolina,2016,940161,SILLONES DE MADERA TAPIZADOS,2,62.0,6639.109
NC,North Carolina,2016,940350,COLGADORES O PERCHAS DE MADERA,1,31.0,957.188
NC,North Carolina,2016,940360,"ESTANTE PARA COLGAR TACOS DE BILLAR, GABINETE DE MADERA",1,194.0,14248.981
NC,North Carolina,2016,940360,MUEBLES DE MADERA,1,31.0,1937.03
NC,North Carolina,2016,940370,MESA DE PLASTICO,1,31.0,1334.066
NC,North Carolina,2016,940510,LAMPARAS DE PARED,1,194.0,725.139
NC,North Carolina,2016,950699,MESA PARA JUGAR FUTBOLITO,1,147.0,5350.783
NJ,New Jersey,2016,250700,CAOLIN,1,5.0,650.6480000000001
NJ,New Jersey,2016,251990,OXIDO DE MAGNESIO,1,20.0,2858.537
NJ,New Jersey,2016,270730,XILENOS.(ORDEN 2),1,424.0,1602.796
NJ,New Jersey,2016,271012,ETER DE PETROLEO.(ORDEN 1),1,424.0,2098.195
NJ,New Jersey,2016,271012,"ETER DE PETROLEO.(ORDEN 1,10)",1,2584.0,9451.1
NJ,New Jersey,2016,271012,ETER DE PETROLEO.(ORDEN 2),1,1209.0,5355.015
NJ,New Jersey,2016,280300,CARBONO(NEGRO DE HUMO Y OTRAS FORMAS DISPONIBLES DE CARBONO NO EXPRESADOS NI COMPRENDIDOS EN OTRAS PARTES.(ORDEN 16),1,45.0,787.601
NJ,New Jersey,2016,280610,ACIDO CLORHIDRICO.(ORDEN 40),1,30.0,850.312
NJ,New Jersey,2016,280920,ACIDO FOSFORICO.(ORDEN 3),1,340.0,1464.834
